order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
28,5,1024,0,3.0,,20,268,66,268,69,0.8636363636363636,0.8479467900520532,0.8501515151515152
29,1,1024,0,3.0,balanced,20,267,67,270,67,0.8955223880597015,0.8834590555643189,0.8846031746031746
29,2,1024,0,3.0,balanced,20,267,67,270,67,0.8805970149253731,0.89902140601057,0.9027777777777779
29,3,1024,0,3.0,balanced,20,267,67,270,67,0.8955223880597015,0.900178720488318,0.9033333333333333
29,4,1024,0,3.0,balanced,20,267,67,270,67,0.9253731343283582,0.9229046057142032,0.9312698412698414
29,5,1024,0,3.0,balanced,20,268,66,268,69,0.8787878787878788,0.8705239368474663,0.8709848484848486
30,1,1024,512,0.03,,20,267,67,270,67,0.8059701492537313,0.7752380952380952,0.7817460317460319
30,2,1024,512,0.03,,20,267,67,270,67,0.8955223880597015,0.9071470342522975,0.903888888888889
30,3,1024,512,0.03,,20,267,67,270,67,0.8507462686567164,0.8535367573602868,0.8683333333333334
30,4,1024,512,0.03,,20,267,67,270,67,0.8805970149253731,0.8764646464646466,0.8895238095238096
30,5,1024,512,0.03,,20,268,66,268,69,0.8939393939393939,0.885546218487395,0.8834848484848485
31,1,1024,512,0.03,balanced,20,267,67,270,67,0.9104477611940298,0.9060530405267248,0.9046031746031746
31,2,1024,512,0.03,balanced,20,267,67,270,67,0.8955223880597015,0.9144281045751634,0.9127777777777778
31,3,1024,512,0.03,balanced,20,267,67,270,67,0.8955223880597015,0.8941020091020091,0.9058333333333334
31,4,1024,512,0.03,balanced,20,267,67,270,67,0.9402985074626866,0.9403065664985168,0.9423809523809524
31,5,1024,512,0.03,balanced,20,268,66,268,69,0.9090909090909091,0.9048809523809525,0.9084848484848485
32,1,1024,512,0.1,,20,267,67,270,67,0.8208955223880597,0.8033333333333333,0.8017460317460318
32,2,1024,512,0.1,,20,267,67,270,67,0.8955223880597015,0.9071470342522975,0.903888888888889
32,3,1024,512,0.1,,20,267,67,270,67,0.8507462686567164,0.8535367573602868,0.8683333333333334
32,4,1024,512,0.1,,20,267,67,270,67,0.8805970149253731,0.8764646464646466,0.8895238095238096
32,5,1024,512,0.1,,20,268,66,268,69,0.8939393939393939,0.886910866910867,0.8834848484848485
33,1,1024,512,0.1,balanced,20,267,67,270,67,0.9104477611940298,0.9060530405267248,0.9046031746031746
33,2,1024,512,0.1,balanced,20,267,67,270,67,0.8955223880597015,0.9144281045751634,0.9127777777777778
33,3,1024,512,0.1,balanced,20,267,67,270,67,0.9104477611940298,0.9070251257170762,0.9158333333333333
33,4,1024,512,0.1,balanced,20,267,67,270,67,0.9402985074626866,0.9403065664985168,0.9423809523809524
33,5,1024,512,0.1,balanced,20,268,66,268,69,0.8939393939393939,0.885546218487395,0.8834848484848485
34,1,1024,512,0.3,,20,267,67,270,67,0.8059701492537313,0.7760606060606061,0.7817460317460319
34,2,1024,512,0.3,,20,267,67,270,67,0.8955223880597015,0.9071470342522975,0.903888888888889
34,3,1024,512,0.3,,20,267,67,270,67,0.835820895522388,0.8440226440226442,0.8583333333333334
34,4,1024,512,0.3,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
34,5,1024,512,0.3,,20,268,66,268,69,0.8939393939393939,0.886910866910867,0.8834848484848485
35,1,1024,512,0.3,balanced,20,267,67,270,67,0.9104477611940298,0.9060530405267248,0.9046031746031746
35,2,1024,512,0.3,balanced,20,267,67,270,67,0.8805970149253731,0.8953921568627452,0.8927777777777779
35,3,1024,512,0.3,balanced,20,267,67,270,67,0.9104477611940298,0.9126417313336818,0.9158333333333333
35,4,1024,512,0.3,balanced,20,267,67,270,67,0.9552238805970149,0.960306566498517,0.959047619047619
35,5,1024,512,0.3,balanced,20,268,66,268,69,0.8939393939393939,0.885546218487395,0.8834848484848485
36,1,1024,512,1.0,,20,267,67,270,67,0.8059701492537313,0.7760606060606061,0.7817460317460319
36,2,1024,512,1.0,,20,267,67,270,67,0.9104477611940298,0.926264681311121,0.9238888888888889
36,3,1024,512,1.0,,20,267,67,270,67,0.835820895522388,0.8440226440226442,0.8583333333333334
36,4,1024,512,1.0,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
36,5,1024,512,1.0,,20,268,66,268,69,0.8939393939393939,0.886910866910867,0.8834848484848485
37,1,1024,512,1.0,balanced,20,267,67,270,67,0.8955223880597015,0.8793070087806931,0.8846031746031746
37,2,1024,512,1.0,balanced,20,267,67,270,67,0.8805970149253731,0.8953921568627452,0.8927777777777779
37,3,1024,512,1.0,balanced,20,267,67,270,67,0.9104477611940298,0.9070251257170762,0.9158333333333333
37,4,1024,512,1.0,balanced,20,267,67,270,67,0.9402985074626866,0.9403065664985168,0.9423809523809524
37,5,1024,512,1.0,balanced,20,268,66,268,69,0.8939393939393939,0.886910866910867,0.8834848484848485
38,1,1024,512,3.0,,20,267,67,270,67,0.8059701492537313,0.7760606060606061,0.7817460317460319
38,2,1024,512,3.0,,20,267,67,270,67,0.9104477611940298,0.926264681311121,0.9238888888888889
38,3,1024,512,3.0,,20,267,67,270,67,0.835820895522388,0.8440226440226442,0.8583333333333334
38,4,1024,512,3.0,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
