order,fold,ngram_min,ngram_max,c,class_weight,min_df,sublinear_tf,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
21,1,2,5,0.3,balanced,1,True,267,67,270,67,0.9552238805970149,0.9544011544011545,0.9546031746031746
21,2,2,5,0.3,balanced,1,True,267,67,270,67,0.9552238805970149,0.9593464052287581,0.968888888888889
21,3,2,5,0.3,balanced,1,True,267,67,270,67,0.9552238805970149,0.9416477090161302,0.945
21,4,2,5,0.3,balanced,1,True,267,67,270,67,0.9701492537313433,0.9653235653235652,0.9657142857142856
21,5,2,5,0.3,balanced,1,True,268,66,268,69,0.9393939393939394,0.9381410256410257,0.9418181818181818
22,1,2,5,0.3,balanced,2,False,267,67,270,67,0.9552238805970149,0.9577433780529756,0.9588888888888889
22,2,2,5,0.3,balanced,2,False,267,67,270,67,0.9253731343283582,0.9243253968253968,0.931388888888889
22,3,2,5,0.3,balanced,2,False,267,67,270,67,0.8507462686567164,0.8472236097236099,0.8634920634920634
22,4,2,5,0.3,balanced,2,False,267,67,270,67,0.9552238805970149,0.9517031171442938,0.9546031746031748
22,5,2,5,0.3,balanced,2,False,268,66,268,69,0.9242424242424242,0.9215476190476191,0.9251515151515152
23,1,2,5,0.3,balanced,2,True,267,67,270,67,0.9552238805970149,0.9544011544011545,0.9546031746031746
23,2,2,5,0.3,balanced,2,True,267,67,270,67,0.9552238805970149,0.9593464052287581,0.968888888888889
23,3,2,5,0.3,balanced,2,True,267,67,270,67,0.9552238805970149,0.9416477090161302,0.945
23,4,2,5,0.3,balanced,2,True,267,67,270,67,0.9701492537313433,0.9653235653235652,0.9657142857142856
23,5,2,5,0.3,balanced,2,True,268,66,268,69,0.9393939393939394,0.9381410256410257,0.9418181818181818
24,1,2,5,1.0,,1,False,267,67,270,67,0.9850746268656716,0.9822222222222223,0.9800000000000001
24,2,2,5,1.0,,1,False,267,67,270,67,0.9552238805970149,0.9515622389306599,0.953888888888889
24,3,2,5,1.0,,1,False,267,67,270,67,0.9104477611940298,0.9078296703296704,0.9084920634920636
24,4,2,5,1.0,,1,False,267,67,270,67,0.9850746268656716,0.987450980392157,0.9888888888888889
24,5,2,5,1.0,,1,False,268,66,268,69,0.9696969696969697,0.9625,0.96
25,1,2,5,1.0,,1,True,267,67,270,67,0.9701492537313433,0.9711111111111113,0.968888888888889
25,2,2,5,1.0,,1,True,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
25,3,2,5,1.0,,1,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
25,4,2,5,1.0,,1,True,267,67,270,67,0.9701492537313433,0.9653235653235652,0.9657142857142856
25,5,2,5,1.0,,1,True,268,66,268,69,0.9696969696969697,0.9625,0.96
26,1,2,5,1.0,,2,False,267,67,270,67,0.9850746268656716,0.9822222222222223,0.9800000000000001
26,2,2,5,1.0,,2,False,267,67,270,67,0.9552238805970149,0.9515622389306599,0.953888888888889
26,3,2,5,1.0,,2,False,267,67,270,67,0.9104477611940298,0.9103749191984487,0.9084920634920636
26,4,2,5,1.0,,2,False,267,67,270,67,0.9850746268656716,0.987450980392157,0.9888888888888889
26,5,2,5,1.0,,2,False,268,66,268,69,0.9696969696969697,0.9625,0.96
27,1,2,5,1.0,,2,True,267,67,270,67,0.9701492537313433,0.9711111111111113,0.968888888888889
27,2,2,5,1.0,,2,True,267,67,270,67,0.9850746268656716,0.9830065359477125,0.9888888888888889
27,3,2,5,1.0,,2,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
27,4,2,5,1.0,,2,True,267,67,270,67,0.9701492537313433,0.9653235653235652,0.9657142857142856
27,5,2,5,1.0,,2,True,268,66,268,69,0.9696969696969697,0.9625,0.96
28,1,2,5,1.0,balanced,1,False,267,67,270,67,0.9701492537313433,0.9696732026143792,0.968888888888889
